Title,Price (GBP),Rating,In Stock
A Light in the Attic,51.77,3,True
Tipping the Velvet,53.74,1,True
Soumission,50.1,1,True
Sharp Objects,47.82,4,True
Sapiens: A Brief History of Humankind,54.23,5,True
The Requiem Red,22.65,1,True
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True
The Black Maria,52.15,1,True
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True
Shakespeare's Sonnets,20.66,4,True
Set Me Free,17.46,5,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True
Rip it Up and Start Again,35.02,5,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,True
Olio,23.88,1,True
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True
Libertarianism for Beginners,51.33,2,True
It's Only the Himalayas,45.17,2,True
In Her Wake,12.84,1,True
How Music Works,37.32,2,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True
Chase Me (Paris Nights #2),25.27,5,True
Black Dust,34.53,5,True
Birdsong: A Story in Pictures,54.64,3,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True
Aladdin and His Wonderful Lamp,53.13,3,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,True
Wall and Piece,44.18,4,True
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True
The Elephant Tree,23.82,5,True
The Bear and the Piano,36.89,1,True
Sophie's World,15.94,5,True
Penny Maybe,33.29,3,True
Maude (1883-1993):She Grew Up with the country,18.02,2,True
"In a Dark, Dark Wood",19.63,1,True
Behind Closed Doors,52.22,4,True
You can't bury them all: Poems,33.63,2,True
Slow States of Collapse: Poems,57.31,3,True
Reasons to Stay Alive,26.41,2,True
Private Paris (Private #10),47.61,5,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True
Without Borders (Wanderlove #1),45.07,2,True
When We Collided,31.77,1,True
"We Love You, Charlie Freeman",50.27,5,True
Untitled Collection: Sabbath Poems 2014,14.27,4,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True
Unicorn Tracks,18.78,3,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,True
